Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 1,identity crimes,XGBoost,Train,0.9996475770925111,0.9943502824858756,177,0.03118942731277533,1.0,0.9887005649717514,0.9943181818181818
tier 1,identity crimes,XGBoost,Validation,0.9889415481832543,0.8754169714051266,61,0.032122169562927856,0.8846153846153846,0.7540983606557377,0.8141592920353983
tier 1,fraudulent/counterfeit goods,XGBoost,Train,0.9998237885462555,0.9833333333333334,30,0.0052863436123348016,1.0,0.9666666666666667,0.9830508474576272
tier 1,fraudulent/counterfeit goods,XGBoost,Validation,0.9968404423380727,0.8211633194391815,14,0.00737230121116377,0.9,0.6428571428571429,0.75
tier 1,criminal harassment,XGBoost,Train,0.9991189427312775,0.9903846991678649,210,0.03700440528634361,0.9951690821256038,0.9809523809523809,0.988009592326139
tier 1,criminal harassment,XGBoost,Validation,0.9973670352817272,0.9919608648056923,72,0.037914691943127965,0.9466666666666667,0.9861111111111112,0.9659863945578231
tier 1,forgery (non-financial/identity),XGBoost,Train,0.9996475770925111,0.6666666666666666,3,0.0005286343612334801,1.0,0.3333333333333333,0.5
tier 1,forgery (non-financial/identity),XGBoost,Validation,0.9994734070563455,0.5,1,0.000526592943654555,1.0,0.0,0.0
tier 1,crimes against the government,XGBoost,Train,1.0,1.0,8,0.0014096916299559472,1.0,1.0,1.0
tier 1,crimes against the government,XGBoost,Validation,0.9957872564507636,0.5555555555555556,9,0.004739336492890996,1.0,0.1111111111111111,0.2
tier 1,drug crimes,XGBoost,Train,0.9984140969162996,0.9942549934585159,631,0.11118942731277533,0.9968051118210862,0.9889064976228209,0.9928400954653938
tier 1,drug crimes,XGBoost,Validation,0.9831490258030542,0.9641727668221012,230,0.12111637704054766,0.9230769230769231,0.9391304347826087,0.9310344827586207
tier 1,disorderly conduct,XGBoost,Train,0.9994713656387665,0.9948096885813149,289,0.05092511013215859,1.0,0.9896193771626297,0.9947826086956522
tier 1,disorderly conduct,XGBoost,Validation,0.9973670352817272,0.9812023078354736,108,0.05687203791469194,0.9904761904761905,0.9629629629629629,0.9765258215962441
tier 2,financial crimes,Decision Tree,Train,1.0,1.0,1,0.0001762114537444934,1.0,1.0,1.0
tier 2,financial crimes,Decision Tree,Validation,0.9994734070563455,0.5,1,0.000526592943654555,1.0,0.0,0.0
tier 2,bribery,Decision Tree,Train,0.9996475770925111,0.9972772633498057,190,0.033480176211453744,0.9947368421052631,0.9947368421052631,0.9947368421052631
tier 2,bribery,Decision Tree,Validation,0.985781990521327,0.9459154351395731,72,0.037914691943127965,0.7647058823529411,0.9027777777777778,0.8280254777070064
tier 2,sextortion,Decision Tree,Train,0.999295154185022,0.9557937161746456,34,0.0059911894273127755,0.96875,0.9117647058823529,0.9393939393939394
tier 2,sextortion,Decision Tree,Validation,0.9957872564507636,0.8560818491852975,14,0.00737230121116377,0.7142857142857143,0.7142857142857143,0.7142857142857143
tier 2,homicide,Decision Tree,Train,1.0,1.0,445,0.07841409691629955,1.0,1.0,1.0
tier 2,homicide,Decision Tree,Validation,0.9878883622959452,0.9400465278079749,130,0.06845708267509215,0.9349593495934959,0.8846153846153846,0.9090909090909091
tier 2,public intoxication,Decision Tree,Train,1.0,1.0,147,0.02590308370044053,1.0,1.0,1.0
tier 2,public intoxication,Decision Tree,Validation,0.9994734070563455,0.999728555917481,57,0.030015797788309637,0.9827586206896551,1.0,0.991304347826087
tier 2,violation of the export control reform act,Decision Tree,Train,1.0,1.0,3,0.0005286343612334801,1.0,1.0,1.0
tier 2,violation of the export control reform act,Decision Tree,Validation,0.9968404423380727,0.642592872244035,7,0.003686150605581885,0.6666666666666666,0.2857142857142857,0.4
tier 2,making false statements to a government agency,Decision Tree,Train,1.0,1.0,2,0.0003524229074889868,1.0,1.0,1.0
tier 2,making false statements to a government agency,Decision Tree,Validation,0.9989468141126909,0.5,2,0.00105318588730911,1.0,0.0,0.0
tier 2,violation of parole,Decision Tree,Train,1.0,1.0,1,0.0001762114537444934,1.0,1.0,1.0
tier 2,violation of parole,Decision Tree,Validation,0.9963138493944181,0.9981559536354058,1,0.000526592943654555,0.125,1.0,0.2222222222222222
tier 2,torture,Decision Tree,Train,1.0,1.0,12,0.0021145374449339205,1.0,1.0,1.0
tier 2,torture,Decision Tree,Validation,0.9989468141126909,0.7497364259356879,2,0.00105318588730911,0.5,0.5,0.5
tier 2,human trafficking,Decision Tree,Train,0.9998237885462555,0.9782608695652174,23,0.004052863436123348,1.0,0.9565217391304348,0.9777777777777777
tier 2,human trafficking,Decision Tree,Validation,0.9936808846761453,0.641007248565388,7,0.003686150605581885,0.2222222222222222,0.2857142857142857,0.25
tier 2,computer fraud,Decision Tree,Train,1.0,1.0,104,0.018325991189427314,1.0,1.0,1.0
tier 2,computer fraud,Decision Tree,Validation,0.9868351764086362,0.8128340733618031,38,0.020010531858873092,0.6857142857142857,0.631578947368421,0.6575342465753424
tier 2,intellectual property theft,Decision Tree,Train,1.0,1.0,11,0.0019383259911894273,1.0,1.0,1.0
tier 2,intellectual property theft,Decision Tree,Validation,0.9968404423380727,0.625,8,0.00421274354923644,1.0,0.25,0.4
tier 2,obstruction of justice,Decision Tree,Train,1.0,1.0,7,0.0012334801762114538,1.0,1.0,1.0
tier 2,obstruction of justice,Decision Tree,Validation,0.9963138493944181,0.49920844327176783,4,0.00210637177461822,0.0,0.0,0.0
tier 2,"stolen property; buying, receiving, or possessing",Decision Tree,Train,1.0,1.0,116,0.020440528634361233,1.0,1.0,1.0
tier 2,"stolen property; buying, receiving, or possessing",Decision Tree,Validation,0.9963138493944181,0.9325307651150347,30,0.01579778830963665,0.896551724137931,0.8666666666666667,0.8813559322033898
tier 2,sex crimes,Decision Tree,Train,1.0,1.0,1,0.0001762114537444934,1.0,1.0,1.0
tier 2,sex crimes,Decision Tree,Validation,0.9994734070563455,0.5,1,0.000526592943654555,1.0,0.0,0.0
tier 2,providing or possessing contraband in prison,Decision Tree,Train,1.0,1.0,2,0.0003524229074889868,1.0,1.0,1.0
tier 2,providing or possessing contraband in prison,Decision Tree,Validation,1.0,1.0,1,0.000526592943654555,1.0,1.0,1.0
tier 2,driving without a license,Decision Tree,Train,0.9998237885462555,0.9444444444444444,9,0.0015859030837004405,1.0,0.8888888888888888,0.9411764705882353
